device,category,clean_metric_name,device_metric_name,active
WHOOP,Recovery,HRV,heartRateVariabilityRmssd,1
WHOOP,Recovery,Resting Heart Rate,restingHeartRate,1
WHOOP,Recovery,Recovery Score,score,1
WHOOP,Sleep,Number of Sleep Cycles,cyclesCount,0
WHOOP,Sleep,Number of Disturbances,disturbanceCount,0
WHOOP,Sleep,Time In Bed (Hours),inBedDuration,1
WHOOP,Sleep,Took a Nap,isNap,0
WHOOP,Sleep,Latency Duration,latencyDuration,0
WHOOP,Sleep,Light Sleep (Hours),lightSleepDuration,1
WHOOP,Sleep,Quality Sleep (Hours),qualityDuration,1
WHOOP,Sleep,REM Sleep (Hours),remSleepDuration,1
WHOOP,Sleep,Respiratory Rate,respiratoryRate,1
WHOOP,Sleep,Sleep Score,score,1
WHOOP,Sleep,Sleep Consistency Score,sleepConsistency,0
WHOOP,Sleep,Sleep Efficiency Score,sleepEfficiency,0
WHOOP,Sleep,Slow Wave Sleep (Hours),slowWaveSleepDuration,1
WHOOP,Sleep,Time Awake,wakeDuration,0
WHOOP,Strain,Average Heart Rate,averageHeartRate,1
WHOOP,Strain,Calories Burnt,kilojoules,1
WHOOP,Strain,Maximum Heart Rate,maxHeartRate,1
WHOOP,Strain,Raw Strain Score,rawScore,0
WHOOP,Strain,Strain Score,score,1
